id,password
3VH4YC1VM60,12345
1HC5U30FG90,"iY6!jJZD?W("""
1EJ6TW8XH25,wK71)fJtWgk\Q'p
2E05G54PY22,"dJ8c?$,C2.*Kb(G`"
4V70AE2YW17,zN8.EjFCo4Wt33KE
5R00HX1FJ42,mZ50J7JYrya=MS
3Y37VQ1MQ93,jM0)w$2SP+*%E
8HQ7HF6YR00,wI21PAOR7q%TO
8P17A18TA80,dJ3%YpkYLwQ+AY/
2UM8CN0PQ66,nO7o<r42
1CV8NC8XM28,sZ1vqIan`
8JR5JQ3MH11,rD4>)F)TG0Iw<#
6JW2P58QU50,pJ3Jn<SR9F
5D03Q83XQ28,eI31\w%UkZY5IQ
5QN8KD1KJ87,"uK3|_'=L,*(>"
4RH4G14CJ24,pK4jFDJR&
9KP1E04VV26,vT1Wz_E1n/RjRs
3YD1Y37GX53,pD2Ni9Vl85|QU
8XK1MA5WY44,gM0>2W\c
7YT1E51QH77,vC59$K|G
9NG7V83VR82,"eZ4ua)f""\4uh"
5JN1UP8TG01,"zK2,kj7Rwzrk!a"
3NT2QG8NY36,bY3Uf?P6rl7BW
4QA0WK2CE72,aO3=/XC'~OVBsAhn
4FE9JK4CA68,qW1?%k@+DN4qV~V
2TN7J22JP96,kH2zTtU5#l0(
5N10XE1XJ33,"hL7'KfV?5,"
8Q33GY9RF89,oT1`!$@%JJ|LS
8DM0T98FW23,wR6b7M_Je
2HU4GM6AM83,oL5\c%T59Fp
2FV3PA2TR97,qK8Ux`UR}
3WQ1QJ8DR91,zY7<ojkdWu()
5K35DH6NE29,"wR8,J(HHxOSb5E"
5H19UE3UE65,yP6\kbSChaQz
7Y01VY1EP64,"lD5}P""2.+"
7QM8R04AK63,"iQ8=JAwFABaQ"""
9T20JF6JA14,"wX75F{s/Pah"""
1Q80VP8FU09,bI8wVWV2M@d
7GM1CU2JR84,cJ7}$8S'GQ*REvkL
8YW0G10NW61,"lY9K9hS""T<'EU{!V"
1U28F91PV76,tU8jUtve&lPn`
3MH4KQ4CX63,hY58+jQ<
9DM0AM9UV17,vE9G9RO>H=o3\L
6EH8PN1WA73,oK6|lJFA*S<HAz
6XP1FF8DU07,jR4dN`z`(dzy
9NF6Y46YH11,rH6GZf%qV
5K32AX1QW22,fC7(aHr)J6
5WE7TV1AN80,lB9lA8<k423RVo
8WH7QR9JR44,yD5sgoESr)
3ET0Q58DU35,kV14rv(N)}j%9P
9WG9G54QJ41,pH8sIJ\L?y6r1~
3V90NP0PK92,"qZ9""toYj`lhc#@"
9CA6TN5AM94,hZ3P(N/L
5M95YW4DC02,tU9vFbMY4
3GJ6V80PG91,bJ1%Wgr`nO00
6P82T16HG40,"xE92M""|>`bqm"
1JV6D99NU85,xO4eRex3ib
8VA9K95WH85,wJ6?ARl<T
6AF7VR8HY19,vK72!Uq5
2RR7XF4DP01,iZ1G}Fd}|
4V15MR8EX17,kS1u?YmD@}A6wi
2M56U62JW68,oC802)z=
5RV5H46DX06,pP9#9k>>b
9XJ7RN7YT81,"sN2""%{Isz)H}ZT!."
9TQ6E13TM84,uJ3pCPuq)W_l+*z_
7YV8K03HX66,xA9s2Aljl1WQ_LH_
3RV5D28PU23,hM8\$.a})JuL
8GH9KQ8FQ41,sZ2x4Ev8
8XG7H45KP89,"dF8{suj3Cm7,."
2QT2NT4MK83,dD1=crF1Xp>>}\.l
8CT9H01YP23,xC6975m>#Cdt.COd
6A93DR2CP45,yY6/}Dyepf*7&<Y
1VA1Q41TK47,nJ3Sf#PXr*
1YD7MG6AK19,wN2SKcYMT.J*
5MJ4RC8HX82,rC8DMg>F
3F47AW6YR91,zE8AI/vDS2F
5WG6D44QD61,xV3+T5TZ5FGXY
6WX7V58PR27,vG5~3h%Fs6e4(w
7T45ME7MK47,iF82eUIMEJyi(h=
6JX0NN6UG07,fC7)Y1@XmUGy>&X
6AE8KN2RK13,qJ1edVo_Gr0N
3MR2NK2JR60,gV06o4WgzuVd
1A20EA2TR52,dF6uf=o2~#wf
4HT0XA9CV93,fZ8'1bEQV`D?Sj
1DA5J17CE75,jP0`GZN&Y`
9NE5EE8KX96,jX40)asAq\
9WH2D88HU89,eR7)P4LzQD$TQ
4AC1E19KY73,hH3X@0)w/
9E80FD9DK44,tI0\4J5{0RO.FJm4
2CM1QQ5UX87,rK09ZRY=Uq
9J51RH9WM14,vI9'vdq$6
3JH0W49WR43,zW0AiU>CkQWlYd
4PA0E06MA51,kT8(Yt<>K
3AA9X51GJ39,"wI7""3.{4#hg,="
2KV8YD7JV56,vE8|ZbK.62#
6J07EF8YK08,"iS1&O""""`.I7erG("
9X01F83KG50,kZ86=i{c
1M80HD8AV80,wB6A.N\&&7j`O3?
3QD2RY1PR72,cT7y2Yl/M&?n
9V41TV0FF88,zA7YFgBXockV
8WF5AN6KA86,dP7~E_7ZxRPS+TD
6YA1V76DR40,fF5jwEOY#wS`#}Ld
9DY0VQ5CG89,tM7H(ET'7y
8MN6WE6YE36,"kD18%""@Zf8#J7Nnv"
